cpu_times-user,cpu_times-system,cpu_times-children_user,cpu_times-children_system,cpu_times-iowait,memory_full_info-rss,memory_full_info-vms,memory_full_info-shared,memory_full_info-text,memory_full_info-lib,memory_full_info-data,memory_full_info-dirty,memory_full_info-uss,memory_full_info-pss,memory_full_info-swap,memory_percent,cpu_percent
15.06,0.73,0.0,0.0,0.0,3137208320,3207602176,6160384,2818048,0,3192496128,0,1821802496,1822496768,0,19.12742845070127,96.7
15.16,0.74,0.0,0.0,0.0,3158310912,3224379392,6160384,2818048,0,3209273344,0,1942978560,1943675904,0,19.256090075124206,98.1
15.26,0.74,0.0,0.0,0.0,3179544576,3241156608,6160384,2818048,0,3226050560,0,2068955136,2069652480,0,19.385550840071502,88.1
15.35,0.75,0.0,0.0,0.0,3200516096,3257933824,6160384,2818048,0,3242827776,0,2073133056,2073830400,0,19.51341332397007,88.6
15.46,0.75,0.0,0.0,0.0,3221487616,3274711040,6160384,2818048,0,3259604992,0,2077310976,2078008320,0,19.641275807868638,96.9
15.56,0.75,0.0,0.0,0.0,3243376640,3292536832,6160384,2818048,0,3277430784,0,1927835648,1928516608,0,19.774732275437767,87.9
15.67,0.76,0.0,0.0,0.0,3264610304,3309314048,6160384,2818048,0,3294208000,0,2009546752,2010244096,0,19.904193040385067,106.6
15.76,0.77,0.0,0.0,0.0,3286106112,3326091264,6160384,2818048,0,3310985216,0,2284158976,2284856320,0,20.035252086381096,87.0
15.87,0.77,0.0,0.0,0.0,3307470848,3343917056,6160384,2818048,0,3328811008,0,1968189440,1968863232,0,20.165511991852764,97.4
15.96,0.78,0.0,0.0,0.0,3328704512,3443175424,6160384,2818048,0,3428069376,0,2022338560,2023035904,0,20.29497275680006,88.7
16.07,0.78,0.0,0.0,0.0,3346923520,3457855488,6160384,2818048,0,3442749440,0,1996062720,1996760064,0,20.406053289686945,96.2
16.17,0.78,0.0,0.0,0.0,3366846464,3473584128,6160384,2818048,0,3458478080,0,2110873600,2111570944,0,20.52752264939058,86.9
16.28,0.79,0.0,0.0,0.0,3387424768,3490361344,6160384,2818048,0,3475255296,0,2132045824,2132743168,0,20.65298771171605,105.8
16.38,0.79,0.0,0.0,0.0,3408920576,3508187136,6160384,2818048,0,3493081088,0,2027270144,2027967488,0,20.78404675771208,87.9
16.49,0.79,0.0,0.0,0.0,3430809600,3526012928,6160384,2818048,0,3510906880,0,2114301952,2114982912,0,20.91750322528121,95.6
16.59,0.79,0.0,0.0,0.0,3451912192,3542790144,6160384,2818048,0,3527684096,0,2196172800,2196870144,0,21.046164849704144,87.4
16.7,0.79,0.0,0.0,0.0,3472490496,3559567360,6160384,2818048,0,3544461312,0,2217107456,2217804800,0,21.171629912029612,97.2
16.8,0.8,0.0,0.0,0.0,3492937728,3576344576,6160384,2818048,0,3561238528,0,1513807872,1514505216,0,21.296295833830715,102.5
16.9,0.8,0.0,0.0,0.0,3513778176,3593121792,6160384,2818048,0,3578015744,0,2257891328,2258588672,0,21.423359177204915,86.5
17.0,0.81,0.0,0.0,0.0,3533963264,3609899008,6160384,2818048,0,3594792960,0,1522040832,1522738176,0,21.546426817957286,103.1
17.1,0.81,0.0,0.0,0.0,3554803712,3626676224,6160384,2818048,0,3611570176,0,2222768128,2223465472,0,21.674289301855854,86.9
17.19,0.82,0.0,0.0,0.0,3576561664,3644502016,6160384,2818048,0,3629395968,0,2194423808,2195106816,0,21.80614748837625,86.7
17.29,0.83,0.0,0.0,0.0,3597533184,3661279232,6160384,2818048,0,3646173184,0,2342109184,2342806528,0,21.93400997227482,96.3
17.4,0.83,0.0,0.0,0.0,3617718272,3678056448,6160384,2818048,0,3662950400,0,1582886912,1583567872,0,22.05707761302719,103.2
17.5,0.84,0.0,0.0,0.0,3638558720,3694833664,6160384,2818048,0,3679727616,0,2276769792,2277467136,0,22.18414095640139,96.7
17.6,0.84,0.0,0.0,0.0,3659399168,3711610880,6160384,2818048,0,3696504832,0,2403676160,2404373504,0,22.311204299775593,86.4
17.7,0.84,0.0,0.0,0.0,3679715328,3728388096,6160384,2818048,0,3713282048,0,1632567296,1633264640,0,22.435071081052328,93.5
17.81,0.84,0.0,0.0,0.0,3700555776,3745165312,6160384,2818048,0,3730059264,0,2368569344,2369266688,0,22.56213442442653,95.8
17.91,0.85,0.0,0.0,0.0,3721396224,3761942528,6160384,2818048,0,3746836480,0,2465816576,2466513920,0,22.68919776780073,95.7
18.0,0.86,0.0,0.0,0.0,3742236672,3871510528,6160384,2818048,0,3856404480,0,2327744512,2328441856,0,22.81626111117493,87.5
18.1,0.86,0.0,0.0,0.0,3763863552,3889336320,6160384,2818048,0,3874230272,0,2149191680,2149885952,0,22.948918438219696,87.1
